"article","month","year","countries","authors"
36270,"11","2018","3","14"
34015,"10","2018","3","14"
32266,"9","2018","3","14"
6430,"2","2017","3","14"
32806,"9","2018","3","14"
26935,"7","2019","3","14"
27310,"6","2017","3","14"
27993,"3","2018","3","14"
1684,"1","2019","3","14"
17186,"9","2017","3","14"
16826,"6","2018","3","14"
13648,"2","2018","3","14"
30763,"7","2017","3","14"
19728,"3","2018","3","14"
1343,"3","2018","3","14"
18058,"1","2018","3","14"
2425,"6","2018","3","14"
16892,"5","2018","3","14"
17180,"9","2017","3","14"
33734,"9","2019","3","14"
27456,"8","2016","3","14"
8934,"6","2018","3","14"
18221,"1","2017","3","14"
14142,"12","2017","3","14"
14106,"12","2017","3","14"
782,"6","2018","3","14"
8560,"10","2015","3","14"
40720,"12","2018","3","14"
35977,"11","2018","3","14"
41451,"1","2019","3","14"
24719,"3","2018","3","14"
24853,"2","2018","3","14"
7431,"10","2017","3","14"
33119,"4","2019","3","14"
9776,"8","2017","3","14"
24007,"12","2016","3","14"
40530,"10","2019","3","14"
23384,"6","2018","3","14"
14771,"9","2017","3","14"
6292,"5","2017","3","14"
28492,"12","2015","3","14"
22688,"10","2017","3","14"
14220,"12","2017","3","14"
1069,"5","2018","3","14"
4072,"8","2017","3","14"
39702,"12","2018","3","14"
6733,"6","2015","3","14"
12784,"5","2018","3","14"
9540,"11","2017","3","14"
37591,"6","2019","3","14"
1153,"4","2018","3","14"
6902,"4","2018","3","14"
1279,"3","2018","3","14"
13222,"3","2018","3","14"
14925,"8","2017","3","14"
15268,"9","2018","3","14"
8303,"6","2016","3","14"
35113,"10","2018","3","14"
16001,"12","2016","3","14"
19469,"3","2019","3","14"
40474,"12","2018","3","14"
35772,"10","2018","3","14"
35802,"10","2018","3","14"
9138,"4","2018","3","14"
38130,"12","2018","3","14"
5889,"11","2017","3","14"
38641,"6","2017","3","14"
22901,"6","2017","3","14"
7594,"7","2017","3","14"
28655,"5","2017","3","14"
9583,"11","2017","3","14"
28290,"5","2017","3","14"
18372,"4","2019","3","14"
14328,"11","2017","3","14"
21061,"2","2019","3","14"
38713,"1","2017","3","14"
9602,"10","2017","3","14"
38742,"12","2016","3","14"
17835,"7","2018","3","14"
21000,"10","2018","3","14"
1857,"6","2018","3","14"
21961,"8","2018","3","14"
21141,"6","2018","3","14"
10765,"8","2018","3","14"
17019,"2","2018","3","14"
32807,"3","2019","3","14"
2053,"8","2018","3","14"
12158,"7","2018","3","14"
8041,"12","2016","3","14"
15295,"6","2017","3","14"
4231,"6","2017","3","14"
18225,"10","2016","3","14"
28314,"5","2017","3","14"
21915,"8","2018","3","14"
28519,"3","2015","3","14"
25682,"3","2017","3","14"
10986,"4","2018","3","14"
24687,"4","2018","3","14"
34291,"10","2018","3","14"
10672,"1","2015","3","14"
50676,"5","2019","3","14"
68990,"12","2019","3","14"
51443,"5","2019","3","14"
64416,"10","2019","3","14"
58579,"8","2019","3","14"
51334,"5","2019","3","14"
65195,"11","2019","3","14"
58827,"8","2019","3","14"
69004,"12","2019","3","14"
42631,"7","2019","3","14"
57068,"8","2019","3","14"
65510,"11","2019","3","14"
54792,"7","2019","3","14"
62284,"10","2019","3","14"
43837,"2","2019","3","14"
57634,"8","2019","3","14"
65469,"11","2019","3","14"
65348,"11","2019","3","14"
46551,"6","2019","3","14"
45160,"3","2019","3","14"
52287,"6","2019","3","14"
62999,"10","2019","3","14"
54165,"6","2019","3","14"
53517,"6","2019","3","14"
51224,"5","2019","3","14"
69832,"12","2019","3","14"
44643,"2","2019","3","14"
60821,"9","2019","3","14"
69535,"12","2019","3","14"
62562,"10","2019","3","14"
44259,"2","2019","3","14"
67913,"12","2019","3","14"
56886,"7","2019","3","14"
54892,"7","2019","3","14"
44404,"2","2019","3","14"
44275,"2","2019","3","14"
58632,"8","2019","3","14"
60774,"9","2019","3","14"
60722,"9","2019","3","14"
57720,"8","2019","3","14"
50796,"5","2019","3","14"
61394,"9","2019","3","14"
67958,"12","2019","3","14"
44294,"12","2019","3","14"
69284,"12","2019","3","14"
69821,"12","2019","3","14"
42860,"1","2019","3","14"
58184,"8","2019","3","14"
64865,"10","2019","3","14"
67959,"12","2019","3","14"
43116,"2","2019","3","14"
46417,"3","2019","3","14"
67329,"11","2019","3","14"
62132,"12","2019","3","14"
47995,"4","2019","3","14"
44519,"2","2019","3","14"
63573,"10","2019","3","14"
66822,"11","2019","3","14"
65361,"11","2019","3","14"
61998,"9","2019","3","14"
45063,"10","2019","3","14"
68570,"12","2019","3","14"
56641,"7","2019","3","14"
58531,"8","2019","3","14"
56225,"7","2019","3","14"
58591,"8","2019","3","14"
62066,"9","2019","3","14"
48214,"4","2019","3","14"
53051,"6","2019","3","14"
67259,"11","2019","3","14"
43326,"2","2019","3","14"
50187,"5","2019","3","14"
56593,"7","2019","3","14"
46261,"7","2019","3","14"
66276,"11","2019","3","14"
51006,"5","2019","3","14"
55831,"10","2019","3","14"
43065,"4","2019","3","14"
50852,"5","2019","3","14"
56334,"7","2019","3","14"
46352,"3","2019","3","14"
63216,"10","2019","3","14"
63219,"10","2019","3","14"
56322,"7","2019","3","14"
55343,"7","2019","3","14"
43182,"2","2019","3","14"
66538,"12","2019","3","14"
45692,"3","2019","3","14"
58079,"8","2019","3","14"
57279,"8","2019","3","14"
44851,"2","2019","3","14"
64559,"10","2019","3","14"
52594,"6","2019","3","14"
61103,"9","2019","3","14"
42109,"1","2019","3","14"
54612,"11","2019","3","14"
57232,"8","2019","3","14"
58266,"10","2019","3","14"
61142,"9","2019","3","14"
52304,"6","2019","3","14"
52132,"5","2019","3","14"
57155,"7","2019","3","14"
51581,"5","2019","3","14"
42769,"1","2019","3","14"
46209,"3","2019","3","14"
47416,"3","2019","3","14"
58149,"8","2019","3","13"
54411,"7","2019","3","13"
53341,"6","2019","3","13"
56754,"7","2019","3","13"
44610,"2","2019","3","13"
51411,"5","2019","3","13"
52881,"6","2019","3","13"
58610,"8","2019","3","13"
64883,"10","2019","3","13"
66618,"11","2019","3","13"
59555,"9","2019","3","13"
60270,"9","2019","3","13"
55962,"7","2019","3","13"
62846,"10","2019","3","13"
42044,"1","2019","3","13"
69218,"12","2019","3","13"
55333,"7","2019","3","13"
48096,"4","2019","3","13"
57411,"8","2019","3","13"
55351,"7","2019","3","13"
42651,"1","2019","3","13"
60625,"9","2019","3","13"
58526,"8","2019","3","13"
59939,"9","2019","3","13"
69617,"12","2019","3","13"
58858,"8","2019","3","13"
44590,"3","2019","3","13"
61756,"9","2019","3","13"
55781,"7","2019","3","13"
64946,"10","2019","3","13"
56667,"7","2019","3","13"
61617,"9","2019","3","13"
68850,"12","2019","3","13"
45333,"5","2019","3","13"
52518,"6","2019","3","13"
68847,"12","2019","3","13"
61211,"9","2019","3","13"
60122,"9","2019","3","13"
64688,"10","2019","3","13"
49979,"8","2019","3","13"
69923,"12","2019","3","13"
62228,"10","2019","3","13"
48533,"4","2019","3","13"
46584,"3","2019","3","13"
50353,"5","2019","3","13"
45955,"11","2019","3","13"
64553,"10","2019","3","13"
42346,"1","2019","3","13"
45736,"3","2019","3","13"
46798,"4","2019","3","13"
44925,"4","2019","3","13"
61900,"9","2019","3","13"
46221,"4","2019","3","13"
68182,"12","2019","3","13"
61943,"9","2019","3","13"
69516,"12","2019","3","13"
51011,"5","2019","3","13"
54806,"7","2019","3","13"
51352,"7","2019","3","13"
57338,"8","2019","3","13"
49560,"10","2019","3","13"
57822,"8","2019","3","13"
43151,"7","2019","3","13"
65185,"11","2019","3","13"
55649,"7","2019","3","13"
42459,"1","2019","3","13"
47067,"8","2019","3","13"
42892,"1","2019","3","13"
62023,"9","2019","3","13"
47333,"3","2019","3","13"
62574,"10","2019","3","13"
49493,"4","2019","3","13"
56105,"7","2019","3","13"
49144,"4","2019","3","13"
52898,"6","2019","3","13"
64769,"10","2019","3","13"
43206,"2","2019","3","13"
59157,"10","2019","3","13"
54856,"7","2019","3","13"
53662,"6","2019","3","13"
53810,"6","2019","3","13"
61802,"9","2019","3","13"
53677,"10","2019","3","13"
67810,"12","2019","3","13"
61469,"9","2019","3","13"
48748,"4","2019","3","13"
45235,"4","2019","3","13"
67485,"11","2019","3","13"
57685,"10","2019","3","13"
45703,"3","2019","3","13"
61339,"9","2019","3","13"
45809,"3","2019","3","13"
48794,"4","2019","3","13"
49932,"5","2019","3","13"
45812,"3","2019","3","13"
58555,"8","2019","3","13"
59903,"9","2019","3","13"
67484,"11","2019","3","13"
65696,"11","2019","3","13"
55441,"7","2019","3","13"
44434,"2","2019","3","13"
52322,"6","2019","3","13"
57935,"8","2019","3","13"
66109,"11","2019","3","13"
48639,"4","2019","3","13"
42206,"1","2019","3","13"
63485,"10","2019","3","13"
61356,"9","2019","3","13"
55546,"7","2019","3","13"
45164,"3","2019","3","13"
46365,"3","2019","3","13"
48627,"4","2019","3","13"
68793,"12","2019","3","13"
54421,"6","2019","3","13"
67414,"11","2019","3","13"
54996,"7","2019","3","13"
43170,"5","2019","3","13"
48381,"4","2019","3","13"
42583,"1","2019","3","13"
51733,"5","2019","3","13"
49823,"5","2019","3","13"
62365,"10","2019","3","13"
63212,"10","2019","3","13"
46652,"3","2019","3","13"
41960,"3","2019","3","13"
50081,"5","2019","3","13"
50951,"5","2019","3","13"
56574,"7","2019","3","13"
2551,"7","2019","3","13"
1266,"3","2018","3","13"
38733,"1","2017","3","13"
23440,"6","2018","3","13"
35145,"10","2018","3","13"
14876,"9","2017","3","13"
21014,"7","2018","3","13"
21121,"6","2018","3","13"
20040,"6","2015","3","13"
11918,"9","2018","3","13"
21131,"6","2018","3","13"
9144,"4","2018","3","13"
17163,"10","2017","3","13"
2001,"11","2018","3","13"
12143,"7","2018","3","13"
21148,"7","2019","3","13"
26816,"7","2018","3","13"
38802,"5","2016","3","13"
7705,"6","2017","3","13"
37418,"12","2018","3","13"
13005,"4","2018","3","13"
34970,"10","2018","3","13"
22796,"8","2017","3","13"
9120,"4","2018","3","13"
31769,"8","2018","3","13"
27629,"1","2018","3","13"
1444,"1","2018","3","13"
29490,"1","2018","3","13"
4952,"8","2016","3","13"
21261,"4","2018","3","13"
31877,"10","2019","3","13"
18096,"11","2017","3","13"
26717,"8","2018","3","13"
20190,"8","2018","3","13"
9580,"11","2017","3","13"
8561,"10","2015","3","13"
3431,"1","2018","3","13"
26712,"8","2018","3","13"
21306,"3","2018","3","13"
7579,"8","2017","3","13"
34914,"10","2018","3","13"
8695,"2","2015","3","13"
3383,"1","2018","3","13"
22436,"2","2018","3","13"
11658,"8","2018","3","13"
1483,"1","2018","3","13"
23646,"2","2018","3","13"
40698,"9","2019","3","13"
21367,"2","2018","3","13"
4476,"3","2017","3","13"
22433,"2","2018","3","13"
13534,"3","2018","3","13"
16340,"7","2016","3","13"
8061,"12","2016","3","13"
1031,"5","2018","3","13"
34125,"10","2018","3","13"
7530,"8","2017","3","13"
33631,"2","2019","3","13"
22395,"3","2018","3","13"
37695,"11","2018","3","13"
16968,"3","2018","3","13"
9744,"8","2017","3","13"
19840,"11","2017","3","13"
7508,"9","2017","3","13"
22450,"2","2018","3","13"
5397,"11","2015","3","13"
562,"10","2018","3","13"
9014,"6","2018","3","13"
21440,"12","2017","3","13"
27255,"8","2017","3","13"
26874,"6","2018","3","13"
12292,"6","2018","3","13"
1061,"5","2018","3","13"
21444,"12","2017","3","13"
28498,"11","2015","3","13"
16957,"4","2018","3","13"
34860,"5","2019","3","13"
29412,"3","2018","3","13"
4357,"5","2017","3","13"
31238,"8","2018","3","13"
39948,"12","2018","3","13"
22690,"10","2017","3","13"
27699,"3","2017","3","13"
37212,"11","2018","3","13"
8120,"11","2016","3","13"
39994,"3","2019","3","13"
30811,"6","2017","3","13"
41615,"4","2019","3","13"
9843,"7","2017","3","13"
22674,"10","2017","3","13"
19769,"2","2018","3","13"
21559,"9","2017","3","13"
9893,"6","2017","3","13"
36038,"3","2019","3","13"
8161,"9","2016","3","13"
40096,"12","2018","3","13"
2976,"3","2018","3","13"
25460,"6","2017","3","13"
7309,"11","2017","3","13"
40125,"12","2018","3","13"
7290,"11","2017","3","13"
10060,"3","2017","3","13"
10063,"3","2017","3","13"
10072,"3","2017","3","13"
26943,"5","2018","3","13"
41585,"1","2019","3","13"
816,"5","2018","3","13"
18607,"6","2019","3","13"
6415,"2","2017","3","13"
19098,"2","2017","3","13"
21761,"11","2016","3","13"
2098,"8","2018","3","13"
16732,"8","2018","3","13"
36530,"11","2018","3","13"
23301,"8","2018","3","13"
8857,"8","2018","3","13"
40297,"5","2019","3","13"
36487,"11","2018","3","13"
22563,"12","2017","3","13"
36643,"11","2018","3","13"
40922,"1","2019","3","13"
16224,"9","2016","3","13"
10322,"7","2016","3","13"
7064,"2","2018","3","13"
2655,"5","2018","3","13"
36359,"11","2018","3","13"
10363,"6","2016","3","13"
11215,"9","2017","3","13"
40404,"12","2018","3","13"
37874,"12","2018","3","13"
10400,"5","2016","3","13"
15096,"7","2017","3","13"
6972,"6","2019","3","13"
13602,"2","2018","3","13"
24518,"5","2018","3","13"
6511,"11","2016","3","13"
30042,"8","2015","3","13"
24754,"3","2018","3","13"
35416,"10","2018","3","13"
40461,"12","2018","3","13"
33974,"10","2018","3","13"
16002,"12","2016","3","13"
22077,"6","2018","3","13"
6549,"9","2016","3","13"
25929,"9","2016","3","13"
27127,"1","2018","3","13"
16023,"12","2016","3","13"
10564,"10","2015","3","13"
5979,"10","2017","3","13"
5996,"10","2017","3","13"
25278,"9","2017","3","13"
10599,"7","2015","3","13"
35350,"11","2018","3","13"
41325,"1","2019","3","13"
36729,"11","2018","3","13"
6804,"3","2019","3","13"
23691,"12","2017","3","13"
27055,"3","2018","3","13"
40613,"12","2018","3","13"
1968,"5","2018","3","13"
25491,"6","2017","3","13"
13959,"1","2018","3","13"
10870,"6","2018","3","13"
11040,"3","2018","3","13"
35505,"10","2018","3","13"
41553,"1","2019","3","13"
13471,"3","2018","3","13"
20108,"3","2018","3","13"
7869,"3","2017","3","13"
20093,"5","2018","3","13"
694,"6","2018","3","13"
25580,"4","2017","3","13"
16101,"11","2016","3","12"
16772,"7","2018","3","12"
6812,"8","2018","3","12"
10926,"5","2018","3","12"
12755,"5","2018","3","12"
6809,"8","2018","3","12"
29342,"4","2018","3","12"
41054,"1","2019","3","12"
17514,"4","2019","3","12"
20118,"2","2019","3","12"
36111,"11","2018","3","12"
30655,"10","2017","3","12"
31123,"8","2015","3","12"
21182,"5","2018","3","12"
9739,"9","2017","3","12"
29566,"11","2017","3","12"
8592,"9","2015","3","12"
36305,"11","2018","3","12"
13331,"5","2019","3","12"
40268,"12","2018","3","12"
13499,"3","2018","3","12"
37257,"11","2018","3","12"
37486,"11","2018","3","12"
31850,"9","2018","3","12"
22447,"1","2019","3","12"
19870,"10","2017","3","12"
21396,"1","2018","3","12"
27571,"6","2018","3","12"
23718,"12","2017","3","12"
10924,"12","2019","3","12"
24240,"7","2018","3","12"
12559,"1","2019","3","12"
21379,"1","2018","3","12"
30159,"3","2018","3","12"
15542,"5","2017","3","12"
34105,"3","2019","3","12"
28164,"10","2017","3","12"
3312,"2","2018","3","12"
16682,"10","2014","3","12"
2240,"7","2018","3","12"
7096,"2","2018","3","12"
40330,"12","2018","3","12"
15872,"2","2017","3","12"
27794,"7","2018","3","12"
1784,"6","2018","3","12"
30604,"10","2017","3","12"
10669,"1","2015","3","12"
6793,"11","2018","3","12"
17935,"5","2018","3","12"
9169,"4","2018","3","12"
33889,"10","2018","3","12"
39828,"12","2018","3","12"
36873,"11","2018","3","12"
23309,"7","2018","3","12"
15379,"6","2017","3","12"
8661,"4","2015","3","12"
10337,"7","2016","3","12"
1071,"5","2018","3","12"
527,"7","2018","3","12"
17290,"5","2017","3","12"
13103,"2","2019","3","12"
35467,"10","2018","3","12"
21904,"8","2018","3","12"
2639,"5","2018","3","12"
24057,"5","2016","3","12"
23210,"8","2015","3","12"
6491,"12","2016","3","12"
30936,"1","2017","3","12"
7571,"1","2019","3","12"
23836,"8","2017","3","12"
33927,"10","2018","3","12"
1317,"3","2018","3","12"
8568,"10","2015","3","12"
22870,"6","2017","3","12"
21949,"8","2018","3","12"
21326,"3","2018","3","12"
27565,"6","2018","3","12"
28523,"1","2015","3","12"
38288,"12","2018","3","12"
6995,"3","2018","3","12"
14709,"10","2017","3","12"
8805,"5","2014","3","12"
26754,"8","2018","3","12"
9184,"4","2018","3","12"
38281,"4","2019","3","12"
17027,"2","2018","3","12"
11185,"10","2017","3","12"
20758,"9","2017","3","12"
38018,"12","2018","3","12"
12533,"6","2018","3","12"
13662,"2","2018","3","12"
27649,"9","2017","3","12"
8018,"1","2017","3","12"
8534,"11","2015","3","12"
6952,"6","2019","3","12"
26228,"1","2016","3","12"
35183,"10","2018","3","12"
20029,"2","2016","3","12"
23415,"6","2018","3","12"
37571,"11","2018","3","12"
10459,"3","2016","3","12"
35856,"11","2018","3","12"
9089,"11","2018","3","12"
3656,"11","2017","3","12"
2152,"8","2018","3","12"
2511,"6","2018","3","12"
6128,"8","2017","3","12"
8793,"6","2014","3","12"
2508,"2","2019","3","12"
36444,"11","2018","3","12"
1874,"6","2018","3","12"
37892,"12","2018","3","12"
34448,"10","2018","3","12"
40481,"12","2018","3","12"
22046,"7","2018","3","12"
32338,"7","2019","3","12"
25024,"12","2017","3","12"
32536,"9","2018","3","12"
22851,"6","2017","3","12"
15266,"6","2017","3","12"
22072,"6","2018","3","12"
12234,"6","2018","3","12"
11126,"12","2017","3","12"
34954,"2","2019","3","12"
27567,"6","2018","3","12"
15301,"6","2017","3","12"
36330,"11","2018","3","12"
15148,"7","2017","3","12"
33303,"9","2018","3","12"
18357,"7","2018","3","12"
22778,"8","2017","3","12"
36257,"11","2018","3","12"
27630,"1","2018","3","12"
41033,"1","2019","3","12"
11919,"7","2018","3","12"
17716,"12","2017","3","12"
1910,"5","2018","3","12"
17269,"5","2017","3","12"
22300,"4","2018","3","12"
9798,"8","2017","3","12"
19823,"12","2017","3","12"
37196,"11","2018","3","12"
38433,"5","2019","3","12"
20160,"11","2016","3","12"
29733,"5","2017","3","12"
32755,"9","2018","3","12"
33663,"10","2018","3","12"
38449,"5","2019","3","12"
21503,"10","2017","3","12"
32591,"2","2019","3","12"
18473,"6","2018","3","12"
11983,"7","2018","3","12"
38455,"8","2019","3","12"
11019,"3","2018","3","12"
3730,"11","2017","3","12"
8445,"2","2016","3","12"
6870,"4","2018","3","12"
9221,"3","2018","3","12"
33220,"9","2018","3","12"
20978,"12","2019","3","12"
17816,"8","2018","3","12"
21448,"12","2017","3","12"
9855,"7","2017","3","12"
28500,"11","2015","3","12"
8139,"10","2016","3","12"
35840,"11","2018","3","12"
33701,"9","2018","3","12"
9884,"6","2017","3","12"
37717,"9","2019","3","12"
21557,"9","2017","3","12"
1620,"7","2018","3","12"
21213,"5","2018","3","12"
18218,"1","2017","3","12"
41003,"1","2019","3","12"
16292,"8","2016","3","12"
4110,"7","2017","3","12"
37764,"11","2018","3","12"
32620,"11","2019","3","12"
38057,"12","2018","3","12"
7372,"10","2017","3","12"
34776,"7","2019","3","12"
9194,"4","2018","3","12"
29648,"8","2017","3","12"
30765,"7","2017","3","12"
7499,"9","2017","3","12"
9947,"5","2017","3","12"
26865,"1","2019","3","12"
7358,"10","2017","3","12"
40728,"12","2018","3","12"
26905,"5","2018","3","12"
13145,"4","2018","3","12"
33001,"9","2018","3","12"
31996,"9","2018","3","12"
32884,"9","2018","3","12"
41339,"1","2019","3","12"
6625,"5","2016","3","12"
2960,"4","2018","3","12"
35874,"3","2019","3","12"
35971,"7","2019","3","12"
13578,"2","2018","3","12"
24161,"8","2018","3","12"
12022,"7","2018","3","12"
710,"6","2018","3","12"
6583,"8","2016","3","12"
32555,"9","2018","3","12"
18563,"5","2018","3","12"
19700,"4","2018","3","12"
37041,"11","2018","3","12"
29360,"4","2018","3","12"
26924,"5","2018","3","12"
39900,"7","2019","3","12"
8197,"9","2016","3","12"
4508,"3","2017","3","12"
10059,"3","2017","3","12"
23391,"6","2018","3","12"
1953,"5","2018","3","12"
38563,"2","2018","3","12"
36077,"11","2018","3","12"
30880,"4","2017","3","12"
22175,"5","2018","3","12"
9425,"1","2018","3","12"
32299,"9","2018","3","12"
32519,"9","2018","3","12"
11403,"3","2017","3","12"
64439,"10","2019","3","12"
49857,"5","2019","3","12"
58120,"8","2019","3","12"
58443,"8","2019","3","12"
43824,"2","2019","3","12"
65232,"11","2019","3","12"
58036,"8","2019","3","12"
52351,"6","2019","3","12"
47202,"3","2019","3","12"
49874,"5","2019","3","12"
52270,"6","2019","3","12"
58544,"8","2019","3","12"
57891,"10","2019","3","12"
65327,"11","2019","3","12"
47237,"3","2019","3","12"
64885,"10","2019","3","12"
46887,"3","2019","3","12"
65394,"11","2019","3","12"
46878,"3","2019","3","12"
69233,"12","2019","3","12"
64808,"10","2019","3","12"
57680,"8","2019","3","12"
50647,"5","2019","3","12"
46830,"3","2019","3","12"
49802,"5","2019","3","12"
46826,"3","2019","3","12"
57617,"8","2019","3","12"
58788,"8","2019","3","12"
50421,"5","2019","3","12"
62359,"10","2019","3","12"
52541,"6","2019","3","12"
52560,"6","2019","3","12"
57427,"8","2019","3","12"
58966,"8","2019","3","12"
50712,"5","2019","3","12"
65721,"11","2019","3","12"
47515,"4","2019","3","12"
68913,"12","2019","3","12"
59150,"8","2019","3","12"
59158,"8","2019","3","12"
64459,"10","2019","3","12"
46616,"3","2019","3","12"
43498,"2","2019","3","12"
41973,"4","2019","3","12"
49685,"8","2019","3","12"
59247,"8","2019","3","12"
44221,"2","2019","3","12"
59279,"8","2019","3","12"
56992,"7","2019","3","12"
56954,"7","2019","3","12"
52739,"6","2019","3","12"
59358,"9","2019","3","12"
51250,"5","2019","3","12"
66032,"11","2019","3","12"
46497,"3","2019","3","12"
47699,"4","2019","3","12"
50787,"5","2019","3","12"
59463,"8","2019","3","12"
46434,"3","2019","3","12"
44291,"2","2019","3","12"
44296,"3","2019","3","12"
50557,"6","2019","3","12"
47785,"4","2019","3","12"
56753,"7","2019","3","12"
56723,"7","2019","3","12"
66200,"11","2019","3","12"
47813,"4","2019","3","12"
64096,"10","2019","3","12"
46395,"3","2019","3","12"
51040,"5","2019","3","12"
47860,"5","2019","3","12"
47872,"4","2019","3","12"
51827,"5","2019","3","12"
59642,"9","2019","3","12"
41970,"1","2019","3","12"
56548,"10","2019","3","12"
59737,"12","2019","3","12"
59739,"9","2019","3","12"
51252,"5","2019","3","12"
56489,"7","2019","3","12"
66415,"11","2019","3","12"
46326,"3","2019","3","12"
52863,"6","2019","3","12"
47974,"4","2019","3","12"
43253,"2","2019","3","12"
43244,"2","2019","3","12"
43231,"2","2019","3","12"
48023,"4","2019","3","12"
66547,"11","2019","3","12"
59849,"9","2019","3","12"
50933,"5","2019","3","12"
48059,"4","2019","3","12"
56208,"11","2019","3","12"
42230,"1","2019","3","12"
53611,"6","2019","3","12"
50966,"5","2019","3","12"
56016,"7","2019","3","12"
49519,"4","2019","3","12"
69460,"12","2019","3","12"
51723,"5","2019","3","12"
48178,"4","2019","3","12"
60169,"9","2019","3","12"
49514,"4","2019","3","12"
63524,"10","2019","3","12"
53066,"6","2019","3","12"
48246,"6","2019","3","12"
51381,"12","2019","3","12"
68602,"12","2019","3","12"
66937,"11","2019","3","12"
68596,"12","2019","3","12"
67005,"11","2019","3","12"
63429,"10","2019","3","12"
69875,"12","2019","3","12"
67059,"11","2019","3","12"
63396,"10","2019","3","12"
60421,"10","2019","3","12"
63349,"10","2019","3","12"
42962,"5","2019","3","12"
60474,"9","2019","3","12"
62020,"10","2019","3","12"
67196,"11","2019","3","12"
42939,"1","2019","3","12"
63255,"10","2019","3","12"
48446,"4","2019","3","12"
48470,"4","2019","3","12"
44680,"2","2019","3","12"
55316,"7","2019","3","12"
68555,"12","2019","3","12"
60548,"9","2019","3","12"
55275,"7","2019","3","12"
51365,"5","2019","3","12"
55145,"7","2019","3","12"
45177,"5","2019","3","12"
55087,"7","2019","3","12"
67349,"11","2019","3","12"
54997,"7","2019","3","12"
54961,"7","2019","3","12"
44744,"2","2019","3","12"
60750,"9","2019","3","12"
54894,"7","2019","3","12"
48657,"4","2019","3","12"
62987,"10","2019","3","12"
45779,"3","2019","3","12"
61935,"9","2019","3","12"
45769,"3","2019","3","12"
61919,"9","2019","3","12"
54721,"7","2019","3","12"
68472,"12","2019","3","12"
67617,"11","2019","3","12"
68470,"12","2019","3","12"
62778,"10","2019","3","12"
54528,"6","2019","3","12"
68458,"12","2019","3","12"
62738,"10","2019","3","12"
45312,"3","2019","3","12"
54424,"7","2019","3","12"
54304,"6","2019","3","12"
42638,"5","2019","3","12"
61215,"9","2019","3","12"
67833,"12","2019","3","12"
54221,"11","2019","3","12"
54217,"6","2019","3","12"
62588,"10","2019","3","12"
62576,"10","2019","3","12"
54168,"6","2019","3","12"
54162,"6","2019","3","12"
45566,"3","2019","3","12"
42353,"1","2019","3","12"
51587,"5","2019","3","12"
67946,"12","2019","3","12"
49074,"4","2019","3","12"
51179,"5","2019","3","12"
45492,"3","2019","3","12"
68087,"12","2019","3","12"
45484,"3","2019","3","12"
69656,"12","2019","3","12"
61506,"9","2019","3","12"
62434,"10","2019","3","12"
53872,"9","2019","3","12"
53816,"6","2019","3","12"
45455,"3","2019","3","12"
61712,"10","2019","3","12"
53531,"6","2019","3","12"
51079,"6","2019","3","12"
58294,"12","2019","3","12"
51069,"11","2019","3","12"
45082,"3","2019","3","11"
43339,"2","2019","3","11"
44261,"9","2019","3","11"
46721,"3","2019","3","11"
52586,"6","2019","3","11"
68751,"12","2019","3","11"
66037,"11","2019","3","11"
44124,"2","2019","3","11"
60593,"9","2019","3","11"
54372,"6","2019","3","11"
56906,"7","2019","3","11"
42159,"1","2019","3","11"
61174,"9","2019","3","11"
45074,"6","2019","3","11"
63391,"10","2019","3","11"
64610,"10","2019","3","11"
48544,"4","2019","3","11"
45965,"3","2019","3","11"
45323,"3","2019","3","11"
45327,"3","2019","3","11"
61179,"9","2019","3","11"
46931,"3","2019","3","11"
56577,"7","2019","3","11"
51927,"5","2019","3","11"
47965,"4","2019","3","11"
57030,"7","2019","3","11"
46752,"3","2019","3","11"
67319,"11","2019","3","11"
52537,"6","2019","3","11"
52810,"8","2019","3","11"
67323,"11","2019","3","11"
64664,"10","2019","3","11"
48718,"4","2019","3","11"
54257,"6","2019","3","11"
46776,"3","2019","3","11"
57534,"8","2019","3","11"
57057,"7","2019","3","11"
44912,"2","2019","3","11"
47222,"3","2019","3","11"
69322,"12","2019","3","11"
64685,"10","2019","3","11"
57537,"8","2019","3","11"
44082,"2","2019","3","11"
52003,"5","2019","3","11"
51418,"5","2019","3","11"
47891,"4","2019","3","11"
60679,"9","2019","3","11"
45089,"7","2019","3","11"
53788,"6","2019","3","11"
57546,"8","2019","3","11"
65523,"11","2019","3","11"
54230,"6","2019","3","11"
62904,"10","2019","3","11"
47198,"9","2019","3","11"
44312,"4","2019","3","11"
62143,"10","2019","3","11"
48984,"4","2019","3","11"
52261,"6","2019","3","11"
47365,"3","2019","3","11"
53248,"6","2019","3","11"
45173,"7","2019","3","11"
48582,"9","2019","3","11"
58781,"8","2019","3","11"
67854,"12","2019","3","11"
63942,"10","2019","3","11"
59195,"8","2019","3","11"
48736,"4","2019","3","11"
42606,"1","2019","3","11"
50241,"5","2019","3","11"
64135,"10","2019","3","11"
66277,"11","2019","3","11"
42601,"1","2019","3","11"
58450,"8","2019","3","11"
58730,"8","2019","3","11"
58442,"12","2019","3","11"
49856,"5","2019","3","11"
43703,"2","2019","3","11"
64448,"10","2019","3","11"
50263,"5","2019","3","11"
67579,"11","2019","3","11"
66385,"11","2019","3","11"
69243,"12","2019","3","11"
58076,"8","2019","3","11"
